order,outcome,outcome_label,n,n_clusters,mean_new,mean_previously_contacted,raw_difference,adjusted_difference,se,p_value,ci_low,ci_high,adjusted_difference_pp,ci_low_pp,ci_high_pp,significance,r_squared
1,idx_lcc_operational_capacity,Operational capacity,133,128,.6963279162134443,.80267298,.10634504,.10477592,.019530261,3.7065209e-07,.066129059,.14342278,10.47759205102921,6.612905859947205,14.34227824211121,***,.13038261
2,idx_lcc_case_handling_quality,Case-handling quality,133,128,.6440699293499901,.72937214,.085302241,.085659504,.028408593,.0031013938,.029444026,.14187498,8.565950393676758,2.944402582943439,14.18749839067459,***,.084040932
3,idx_lcc_legitimacy_and_norms,Legitimacy and reintegration,133,128,.5924386717024304,.63272792,.040289275,.037914127,.020636959,.068518758,-.0029226902,.078750946,3.791412711143494,-.292269024066627,7.875094562768936,*,.054981906
4,idx_p1_base_mentor_ready_proxy,Mentor-readiness proxy,133,128,.6408621901557559,.7123242,.071462028,.070267729,.015405321,.000011820013,.039783385,.10075208,7.026772946119308,3.978338465094566,10.07520779967308,***,.16054371
