relative_path,extension,size_bytes,modified_utc,sha256,profile_status
3 Data/1 Raw/Secondary data/uga_villages_jan_2009/uga_villages_jan_2009.shx,.shx,42740,2026-04-24T11:02:04+00:00,a842eeb20a2095b9fe4efb60de2b8f0640271a7b8d50054f53a3350a9a5c9bab,inventoried
3 Data/1 Raw/Secondary data/uga_villages_jan_2009/uga_villages_jan_2009_coor.dta,.dta,98415,2026-04-24T13:03:33.345883+00:00,fd3ee4391ffacaf27e79e6aa9a7d2318c61315e0ee03ec669b1fb09a49da883a,schema_profiled
3 Data/1 Raw/Secondary data/uga_villages_jan_2009.zip,.zip,240136,2026-04-24T13:02:07.249888+00:00,3cc0559238e2c26476e269bab13aae9bd88d9f05ca55f7f2f49ee38d83643463,archive_profiled
3 Data/1 Raw/Secondary data/uga_villages_jan_2009_pcodedb/uga_villages_jan_2009_pcodedB.cpg,.cpg,5,2018-09-07T08:11:00+00:00,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824,text_profiled
3 Data/1 Raw/Secondary data/uga_villages_jan_2009_pcodedb/uga_villages_jan_2009_pcodedB.dbf,.dbf,14055756,2018-09-07T08:12:32+00:00,7c7649ad2342b4d93d3e9ff8c57cf0e63f57e7f8a02190685c0b060a21b0adab,schema_profiled
3 Data/1 Raw/Secondary data/uga_villages_jan_2009_pcodedb/uga_villages_jan_2009_pcodedB.prj,.prj,153,2018-09-07T08:10:58+00:00,290ec80044946d89b4b6d0daa27ad2242e03165536568c0340ea72603918408c,text_profiled
3 Data/1 Raw/Secondary data/uga_villages_jan_2009_pcodedb/uga_villages_jan_2009_pcodedB.sbn,.sbn,54852,2018-09-07T08:11:00+00:00,22b65a424bb451e02f49d58b54fb668a19c39dc0fdee9dc03c5c164b7653ec07,inventoried
3 Data/1 Raw/Secondary data/uga_villages_jan_2009_pcodedb/uga_villages_jan_2009_pcodedB.sbx,.sbx,4028,2018-09-07T08:11:00+00:00,bd1aa142be62c2240feba3714d3bb713bf41f087231ecc29a5cedb549a758fcd,inventoried
3 Data/1 Raw/Secondary data/uga_villages_jan_2009_pcodedb/uga_villages_jan_2009_pcodedB.shp,.shp,149340,2018-09-07T08:11:00+00:00,7d5aa47aaa425e0ddff9cca6dca8c2bcdeb54e35ec345d4c13a47aee61177d34,schema_profiled
3 Data/1 Raw/Secondary data/uga_villages_jan_2009_pcodedb/uga_villages_jan_2009_pcodedB.shx,.shx,42740,2018-09-07T08:11:00+00:00,a842eeb20a2095b9fe4efb60de2b8f0640271a7b8d50054f53a3350a9a5c9bab,inventoried
3 Data/1 Raw/Secondary data/uga_villages_jan_2009_pcodedb/uga_villages_jan_2009_pcodedB_coor.dta,.dta,98415,2026-04-24T12:59:51.347341+00:00,0e3ff5bfc1f08a5f18a41d4458b00635ab2fb582d85fca68de64818afaa461a7,schema_profiled
3 Data/1 Raw/Secondary data/uga_villages_jan_2009_pcodedb/uga_villages_jan_2009_pcodedB_data.dta,.dta,842915,2026-04-24T12:59:51.472754+00:00,8dd3bd4e50d8ff0d1bfa12859ad960ba65d0c313dabf624b4851e3ae7ed91a57,schema_profiled
