relative_path,extension,size_bytes,modified_utc,sha256,profile_status
1 Literature/Tyler - 2017 - Procedural Justice and Policing A Rush to Judgment.pdf,.pdf,658026,2026-04-14T12:34:29.288288+00:00,b1d1536ed4d255f6e1c6bdf8c3789c87b6e2395660d91fdda55a0acbbc99af29,document_profiled
1 Literature/Uganda Advancing Justice.bib,.bib,59031,2026-04-14T15:30:47.101406+00:00,efd5bf6e5cada5e6ff62c17c2232bfe5e38abcc9dce9c9b89251c7cfe26a5c22,text_profiled
1 Literature/Uganda Advancing Justice.csv,.csv,64717,2026-04-14T15:30:17.108955+00:00,9656d716580ece8a81aed40250ea63fff12c9551612f6ba715960efad34d9e72,schema_profiled
1 Literature/Woodman - 1996 - Legal Pluralism and the Search for Justice.pdf,.pdf,1070425,2026-04-14T10:14:29.179123+00:00,5eca4ee59b0140ce01d10ea2c53a1caf8739b82dfb7e964769041b01116e8a6f,document_profiled
"1 Literature/Worden and McLean - 2018 - Measuring, Managing, and Enhancing Procedural Justice in Policing Promise and Pitfalls.pdf",.pdf,167693,2026-04-14T15:23:50.040803+00:00,3bfd4e9206348c03ed9308666edb8b8c2b402731cd04dfa3ba5e5c07d967e782,document_profiled
1 Literature/Wright - 2024 - Mediation and the Structural Interdict as Legal Options to Resolve Service Delivery Failures in Sout.pdf,.pdf,232128,2026-04-14T12:41:35.959551+00:00,4ecb70fb3e127cdfa0a0bb4a9d200c9142b08788807001561e8cf25946319773,document_profiled
2 Design/Instruments/0 Archive/phase_1_baseline.xlsx,.xlsx,129554,2026-05-15T18:31:39+00:00,8c245bd70baccd8ce575049f435a3811ddc0960884255f69fd9239ffe9021edd,schema_profiled
2 Design/Instruments/Advancing Justice Uganda - Questionnaire structure.docx,.docx,30309,2026-04-25T21:50:24.029469+00:00,41259a9e034cff689f25d59b7ac8924a4f89f92488b3505c33139b6e44a6da4d,document_profiled
2 Design/Instruments/Advancing Justice Uganda - Questionnaires.xlsx,.xlsx,343018,2026-05-12T11:22:13+00:00,ec862b9e7e53c3ca379f58ff813e243603a9ac51314187ab8e97d94fd59292d9,schema_profiled
2 Design/Instruments/KII_Police_Judiciary_Final version (1).docx,.docx,4664612,2026-05-19T09:25:22+00:00,dca8fdbc0b98546d2226fc7b32b018981204f217eedcd21fbfbea2e1e74dd3da,document_profiled
2 Design/Instruments/KII_Police_Judiciary_Final version.doc,.doc,5203968,2026-05-19T09:20:49+00:00,e14e0c39543507243688f1b85fdf7bad21d0aae9b581e4ab58236fb81db9254e,inventoried
2 Design/Instruments/KII_Police_Judiciary_Final version.docx,.docx,4671422,2026-05-19T09:30:07+00:00,3f036074c13b566ab4bd599041333c4a7284ef79fbf949a1a01f21c92c93e64c,document_profiled
2 Design/Instruments/KII_Prisions.docx,.docx,3694054,2026-05-12T14:08:48+00:00,538bc764b18de20c5701900669fef263428b4971411d549432ae43e84f925f7b,document_profiled
2 Design/Instruments/phase_1_baseline_Runyankore_printable (1).html,.html,431249,2026-08-31T13:05:59.258305+00:00,3e9ba85d39f352fe3e6fb67d16ff0fb945073d642aa03faded69241f7ea0304f,text_profiled
2 Design/Instruments/phase_1_baseline_Runyankore_printable.html,.html,529917,2026-06-08T14:00:00.431915+00:00,d41fb8630b22593c97e4f44416cb4af26c2318d6262bf74c78034f4bfacb46a5,text_profiled
2 Design/Instruments/phase_1_baseline_version 2.xlsx,.xlsx,120268,2026-05-19T08:15:56+00:00,e80362ab01f83b686151b0b47803e36e6434e6575db0fcce6a70d7c893760278,schema_profiled
2 Design/Instruments/phase_1_baseline_version_Runyankore_Edited (1).xlsx,.xlsx,277634,2026-08-31T13:40:01.717702+00:00,8d81f74491ac2e4e0df6a877f1b9a751efae044469203805feebb66f2ad3b561,schema_profiled
2 Design/Instruments/phase_1_baseline_version_Runyankore_Edited.xlsx,.xlsx,224879,2026-06-08T14:00:08.689717+00:00,8d98afe9973046c6c47b735f4ad9b677fe53abb636251e6e0dbe3746177953f9,schema_profiled
2 Design/Intervention/CDFU LC COURTS TRAINING MANUAL revised 22 July 2026.doc,.doc,5056000,2026-08-10T14:17:17.633792+00:00,d3a6aa8ab61be6203407d25b6740377ed1f4a0f2b8775ecf3d7bed1536b13076,inventoried
2 Design/Intervention/Phase1_LC_Training_Manual_Evidence_Informed_Revisions_CDFU.docx,.docx,54430,2026-08-17T15:47:34.291685+00:00,9214140df2d263f6badd9e2efb25782cd5aaca98b367d03275fb40b4ab65f12e,document_profiled
3 Data/1 Raw/Primary data/Final Village List.xlsx,.xlsx,15011,2026-06-20T06:11:42.189187+00:00,8141e1027445685ad118648645c181df43b3c00c7df0d39adf9172cfee673f77,schema_profiled
3 Data/1 Raw/Primary data/Phase 1 Baseline_Runyankore_WIDE (new submissions).csv,.csv,59540,2026-08-31T13:05:47.002466+00:00,fa1c9fd9154433a27d92e4c0c978bed4584279bd19abff5ef48b86e9b8e41fa4,schema_profiled
3 Data/1 Raw/Primary data/Phase 1 Baseline_Runyankore_WIDE.xlsx,.xlsx,1530003,2026-06-08T13:50:45.106588+00:00,58101c374c81fe4e5c72cc6f8218a5204537c07d98a9dc68b27a2e4bcd970bca,schema_profiled
3 Data/1 Raw/Primary data/Tracking_Form_Final.xlsx,.xlsx,14014,2026-06-12T13:29:05.697921+00:00,af10d694eeaef1dba5b8ec3f9d663987802ba741577525099922733d942ec9fb,schema_profiled
3 Data/1 Raw/Secondary data/BUSHENYI - Updated Admn Units as at 1st June 2024 (1).xls,.xls,70656,2026-04-19T19:45:18+00:00,22fb8494f723b26f233a2f86a617f1640ce9c5cef2790b7a49926032d06b8464,schema_profiled
3 Data/1 Raw/Secondary data/List of LCs mapped.xlsx,.xlsx,45583,2026-08-31T13:21:06.442629+00:00,989244acf4cda46a357d5b7df22d409f7273702d3344049c88fd3a55723f2ba8,schema_profiled
3 Data/1 Raw/Secondary data/Number of cases by village.xlsx,.xlsx,23172,2026-04-18T12:12:28+00:00,773cf378597b0cf87ac6163bbabd9f0c4df2207b292194cc213c2f8692c426ea,schema_profiled
3 Data/1 Raw/Secondary data/Number of cases per sub-county Jan - Dec 2025 cleaned.xlsx,.xlsx,21141,2026-05-04T09:40:42+00:00,6067fe5deea0a23ae4b758036f5518f4444a3875230bb0f2a975abe120e731d1,schema_profiled
3 Data/1 Raw/Secondary data/Number of cases per subcounty.xlsx,.xlsx,24787,2026-04-01T07:09:18+00:00,1a16150c4d8f2c1bf58da80c26d55a8a5fb17cd980d06c636ce3b3876a681bef,schema_profiled
3 Data/1 Raw/Secondary data/RUBIRIZI ADMIN DATA.xlsx,.xlsx,18528,2026-04-01T07:06:45+00:00,e3a03c2dd8eed088bc6d797e107675d77ae542555b1ec4de4103a8150a693ccb,schema_profiled
3 Data/1 Raw/Secondary data/Sheema Administrative units.doc,.doc,726016,2026-04-01T07:06:30+00:00,586ecc0fea1aedd7bf9f97de6f751ebcf56481920158466efe7b592a455257ed,inventoried
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin0.cpg,.cpg,5,2026-01-26T15:27:10+00:00,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824,text_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin0.dbf,.dbf,1739,2026-01-26T15:27:10+00:00,a28abac882f4a3f32fccd1d3fc8585db676550901459d46cfd9233903ffc45ca,schema_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin0.prj,.prj,145,2026-01-26T15:27:10+00:00,a02a27b1d1982c8516d83398e85a3c8b1aef1713c13ef4d84d7bde17430c07c4,text_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin0.shp,.shp,405132,2026-01-26T15:27:10+00:00,a08c75a5bbe6a23d4e808b6f0feebb301f630b59037781936e11f76da73a3df1,schema_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin0.shx,.shx,108,2026-01-26T15:27:10+00:00,c35d5f449d6991e3928b2f397e935051a8f64bd58d75670fa4fc9459bb9c9d14,inventoried
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin1.cpg,.cpg,5,2026-01-26T15:27:10+00:00,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824,text_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin1.dbf,.dbf,6182,2026-01-26T15:27:10+00:00,943a925b480a454aea38d20bb2b7ad87292258f948c868d451c016bb21c22f45,schema_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin1.prj,.prj,145,2026-01-26T15:27:10+00:00,a02a27b1d1982c8516d83398e85a3c8b1aef1713c13ef4d84d7bde17430c07c4,text_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin1.shp,.shp,1065604,2026-01-26T15:27:10+00:00,52a857ea771cb9a87f7929bd953e7c7fdf79758ff7492a0d4baf4b2f46e3fed1,schema_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin1.shx,.shx,132,2026-01-26T15:27:10+00:00,b337b873212cf230901ae6fde7951e1900b143033e201292c56e8b069e5222da,inventoried
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin2.cpg,.cpg,5,2026-01-26T15:27:10+00:00,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824,text_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin2.dbf,.dbf,239681,2026-01-26T15:27:10+00:00,82076cac5432d0f4bbdab4680db82649616548328ba3e34ca6028b05d1e1512b,schema_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin2.prj,.prj,145,2026-01-26T15:27:10+00:00,a02a27b1d1982c8516d83398e85a3c8b1aef1713c13ef4d84d7bde17430c07c4,text_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin2.shp,.shp,6958492,2026-01-26T15:27:10+00:00,047acb34af3f0d7a6256793a39d76410a0f8f9bc35d00f3a1372da7731aa35a2,schema_profiled
3 Data/1 Raw/Secondary data/uga_admin_boundaries/uga_admin2.shx,.shx,1180,2026-01-26T15:27:10+00:00,d436d1b92f66f768cd80262745bfb9eb77111c4d189150ece08bf42086d7eecf,inventoried
